2	0	6
5	2	5
6	5	5
10	6	5
13	10	5
18	13	5
24	18	4
27	24	5
43	27	5
62	43	5
88	62	6
183	88	6
601	183	5
602	601	5
606	602	4
607	606	5
618	607	5
661	618	5
701	661	4
703	701	5
778	703	5
839	778	4
840	839	3
845	840	4
853	845	5
960	853	5
1058	960	4
1059	1058	5
1173	1059	5
1237	1173	4
1241	1237	3
1244	1241	4
1262	1244	4
1282	1262	3
1284	1282	2
1289	1284	3
1295	1289	4
1334	1295	4
1357	1334	3
1358	1357	4
1383	1358	4
1415	1383	3
1418	1415	2
1419	1418	1
1422	1419	0
